# I comuni del Lazio con la sigla della provincia (elenco ISTAT, 378 comuni).
# Serve a ricavare la provincia di un campo dal comune, che presenze e i
# Comunicati Ufficiali danno senza provincia. Una riga: comune;sigla.
Santa Marinella;RM
Saracinesco;RM
Segni;RM
Subiaco;RM
Tivoli;RM
Tolfa;RM
Torrita Tiberina;RM
Trevignano Romano;RM
Vallepietra;RM
Vallinfreda;RM
Valmontone;RM
Velletri;RM
Vicovaro;RM
Vivaro Romano;RM
Zagarolo;RM
Acquapendente;VT
Arlena di Castro;VT
Bagnoregio;VT
Barbarano Romano;VT
Bassano Romano;VT
Bassano in Teverina;VT
Blera;VT
Bolsena;VT
Bomarzo;VT
Calcata;VT
Canepina;VT
Canino;VT
Capodimonte;VT
Capranica;VT
Caprarola;VT
Carbognano;VT
Castel Sant'Elia;VT
Castiglione in Teverina;VT
Celleno;VT
Cellere;VT
Civita Castellana;VT
Civitella d'Agliano;VT
Corchiano;VT
Fabrica di Roma;VT
Faleria;VT
Farnese;VT
Gallese;VT
Gradoli;VT
Graffignano;VT
Grotte di Castro;VT
Ischia di Castro;VT
Latera;VT
Lubriano;VT
Marta;VT
Montalto di Castro;VT
Monte Romano;VT
Montefiascone;VT
Monterosi;VT
Nepi;VT
Onano;VT
Oriolo Romano;VT
Orte;VT
Piansano;VT
Proceno;VT
Ronciglione;VT
San Lorenzo Nuovo;VT
Soriano nel Cimino;VT
Sutri;VT
Tarquinia;VT
Tessennano;VT
Tuscania;VT
Valentano;VT
Vallerano;VT
Vasanello;VT
Vejano;VT
Vetralla;VT
Vignanello;VT
Villa San Giovanni in Tuscia;VT
Viterbo;VT
Vitorchiano;VT
